episode,timestep,reward
1,2000,-464.0
3,4000,-491.0
5,6000,-425.0
7,8000,-385.0
9,10000,-347.0
11,12000,-307.0
13,14000,-282.5
15,16000,-261.0
17,18000,-226.0
19,20000,-189.5
21,22000,-173.5
23,24000,-159.5
25,26000,-145.5
27,28000,-123.0
29,30000,-116.5
31,32000,-97.0
33,34000,-89.0
35,36000,-72.5
37,38000,-69.5
39,40000,-58.0
41,42000,-50.5
43,44000,-50.0
45,46000,-45.0
47,48000,-41.5
49,50000,-31.0
51,52000,-38.0
53,54000,-30.0
55,56000,-26.5
57,58000,-28.0
59,60000,-13.0
61,62000,-18.5
63,64000,-14.5
65,66000,-12.5
67,68000,-13.0
69,70000,-12.0
71,72000,-5.5
73,74000,-6.5
75,76000,-6.0
77,78000,-7.5
79,80000,-2.5
81,82000,-1.5
83,84000,-2.5
85,86000,-1.0
87,88000,-1.0
89,90000,-1.5
91,92000,-1.5
93,94000,-0.5
95,96000,-0.5
97,98000,-1.5
99,100000,-0.5
101,102000,-1.0
103,104000,0.0
105,106000,-1.0
107,108000,0.0
109,110000,0.0
111,112000,0.0
113,114000,0.0
115,116000,0.0
117,118000,-1.0
119,120000,0.0
121,122000,-0.5
123,124000,-0.5
125,126000,0.0
127,128000,-0.5
129,130000,0.0
131,132000,0.0
133,134000,0.0
135,136000,0.0
137,138000,0.0
139,140000,0.0
141,142000,0.0
143,144000,0.0
145,146000,-0.5
147,148000,0.0
149,150000,0.0
151,152000,0.0
153,154000,0.0
155,156000,-0.5
157,158000,0.0
159,160000,0.0
161,162000,0.0
163,164000,0.0
165,166000,-0.5
167,168000,0.0
169,170000,0.0
171,172000,0.0
173,174000,0.0
175,176000,0.0
177,178000,0.0
179,180000,0.0
181,182000,0.0
183,184000,0.0
185,186000,-0.5
187,188000,0.0
189,190000,0.0
191,192000,0.0
193,194000,0.0
195,196000,0.0
197,198000,0.0
199,200000,0.0
201,202000,0.0
203,204000,0.0
205,206000,0.0
207,208000,0.0
209,210000,0.0
211,212000,0.0
213,214000,0.0
215,216000,0.0
217,218000,0.0
219,220000,0.0
221,222000,0.0
223,224000,-0.5
225,226000,0.0
227,228000,0.0
229,230000,-0.5
231,232000,0.0
233,234000,0.0
