episode,timestep,reward
1,2000,0.0
4,4000,-0.6667
7,6000,0.0
9,8000,0.0
11,10000,-478.0
14,12000,0.3333
21,14000,1.0
23,16000,-2.5
27,18000,0.75
35,20000,0.75
44,22000,0.4444
53,24000,1.0
57,26000,-249.5
67,28000,0.4
74,30000,0.5714
78,32000,-0.25
84,34000,-0.5
90,36000,0.6667
103,38000,0.3846
122,40000,0.5263
145,42000,0.6522
162,44000,0.3529
179,46000,-55.1765
199,48000,0.75
221,50000,0.5
249,52000,0.6786
291,54000,0.7143
332,56000,0.7805
384,58000,0.7692
427,60000,0.8605
461,62000,-28.5588
511,64000,0.64
560,66000,0.7143
610,68000,0.8
695,70000,0.6588
774,72000,0.6962
878,74000,0.8173
981,76000,0.8544
1092,78000,0.8919
1206,80000,0.8947
1328,82000,0.9344
1454,84000,0.9524
1587,86000,0.9398
1719,88000,0.9394
1859,90000,0.9357
1996,92000,0.9489
2143,94000,0.966
2287,96000,0.9861
2439,98000,0.9605
2590,100000,0.9868
2742,102000,0.9868
2894,104000,0.9868
3047,106000,0.9869
3198,108000,0.9801
3351,110000,1.0
3502,112000,0.9934
3655,114000,1.0
3732,116000,-12.013
3885,118000,0.9869
4037,120000,0.9737
4191,122000,1.0
4343,124000,0.9868
4496,126000,0.9804
4649,128000,0.9804
4802,130000,1.0
4955,132000,0.9804
5108,134000,0.9804
5262,136000,0.9416
5416,138000,0.9935
5569,140000,0.9935
5722,142000,0.9739
5876,144000,1.0
6029,146000,0.9935
6183,148000,0.9935
6337,150000,0.9935
6490,152000,0.9935
6643,154000,0.9673
6797,156000,0.9935
6942,158000,0.9793
7089,160000,0.9932
7257,162000,-0.631
7423,164000,-0.488
7576,166000,0.9869
7729,168000,0.9935
7882,170000,1.0
8035,172000,1.0
8188,174000,1.0
8342,176000,1.0
8495,178000,0.9935
8649,180000,0.9935
8803,182000,0.987
8956,184000,0.9804
9109,186000,1.0
9262,188000,1.0
9416,190000,0.9935
9569,192000,0.9935
9723,194000,1.0
9876,196000,0.9935
10030,198000,1.0
10184,200000,0.9935
10337,202000,0.9935
10491,204000,0.974
10644,206000,0.9935
10797,208000,0.9869
10951,210000,1.0
11104,212000,0.9935
