episode,timestep,reward
1,2000,-1000.0
3,4000,-999.0
5,6000,-1000.0
7,8000,-995.5
9,10000,-998.0
11,12000,-1000.0
13,14000,-1000.0
15,16000,-998.5
17,18000,-997.0
19,20000,-998.5
21,22000,-987.5
23,24000,-1000.0
25,26000,-998.0
27,28000,-998.5
29,30000,-999.0
31,32000,-998.0
34,34000,-667.0
36,36000,-996.0
38,38000,-999.5
40,40000,-986.5
42,42000,-992.5
44,44000,-1000.0
46,46000,-992.0
48,48000,-989.5
50,50000,-997.0
52,52000,-993.5
54,54000,-995.0
56,56000,-997.5
58,58000,-999.0
60,60000,-984.5
62,62000,-994.5
64,64000,-993.5
66,66000,-995.0
68,68000,-996.0
70,70000,-993.5
72,72000,-983.5
74,74000,-984.0
76,76000,-992.5
78,78000,-997.0
80,80000,-982.5
82,82000,-997.0
84,84000,-990.5
86,86000,-1000.0
88,88000,-999.0
90,90000,-994.5
92,92000,-987.5
94,94000,-992.5
96,96000,-990.5
98,98000,-993.0
100,100000,-983.5
102,102000,-993.0
104,104000,-991.5
106,106000,-991.0
108,108000,-980.0
110,110000,-1000.0
112,112000,-991.5
114,114000,-991.0
116,116000,-989.0
118,118000,-986.5
120,120000,-994.0
122,122000,-1000.0
124,124000,-991.5
126,126000,-994.5
128,128000,-994.0
130,130000,-983.5
132,132000,-991.5
134,134000,-989.0
137,136000,-660.6667
139,138000,-986.0
141,140000,-986.5
143,142000,-987.0
145,144000,-988.0
148,146000,-661.0
150,148000,-976.0
152,150000,-979.5
154,152000,-974.0
156,154000,-988.5
158,156000,-990.5
160,158000,-983.5
162,160000,-995.0
164,162000,-969.0
166,164000,-984.5
168,166000,-980.0
171,168000,-656.6667
173,170000,-989.0
175,172000,-990.5
177,174000,-988.0
179,176000,-996.0
181,178000,-973.5
183,180000,-978.5
185,182000,-976.0
187,184000,-970.0
189,186000,-980.0
191,188000,-979.5
193,190000,-982.0
195,192000,-979.5
197,194000,-991.5
199,196000,-992.0
201,198000,-979.5
203,200000,-993.0
205,202000,-974.5
207,204000,-996.5
209,206000,-987.5
211,208000,-980.5
214,210000,-658.3333
216,212000,-999.0
218,214000,-982.0
220,216000,-987.0
224,218000,-491.25
227,220000,-662.3333
229,222000,-988.5
231,224000,-994.5
233,226000,-980.5
235,228000,-995.5
237,230000,-983.0
239,232000,-988.5
241,234000,-982.0
243,236000,-987.0
245,238000,-977.0
247,240000,-977.0
249,242000,-996.5
251,244000,-975.5
253,246000,-994.0
255,248000,-992.0
257,250000,-986.0
259,252000,-989.0
261,254000,-985.5
263,256000,-990.5
265,258000,-987.0
267,260000,-990.0
269,262000,-988.5
271,264000,-999.5
273,266000,-988.5
275,268000,-995.0
277,270000,-991.5
279,272000,-994.0
281,274000,-989.0
283,276000,-992.0
285,278000,-987.5
287,280000,-983.5
289,282000,-989.0
291,284000,-994.5
293,286000,-994.0
295,288000,-983.5
297,290000,-990.5
299,292000,-995.0
301,294000,-991.0
303,296000,-989.5
305,298000,-990.0
307,300000,-988.5
309,302000,-993.0
311,304000,-989.0
313,306000,-992.5
315,308000,-989.5
317,310000,-976.5
319,312000,-989.0
321,314000,-988.0
323,316000,-968.5
325,318000,-986.0
327,320000,-990.0
329,322000,-986.0
331,324000,-986.5
333,326000,-992.5
335,328000,-995.0
337,330000,-990.0
339,332000,-996.0
341,334000,-991.0
343,336000,-991.5
345,338000,-982.0
347,340000,-991.5
349,342000,-986.0
351,344000,-984.0
353,346000,-975.0
355,348000,-983.0
357,350000,-966.5
359,352000,-998.5
361,354000,-980.5
363,356000,-979.5
365,358000,-981.0
367,360000,-984.5
369,362000,-973.5
371,364000,-975.0
373,366000,-989.0
375,368000,-982.5
377,370000,-980.5
379,372000,-978.5
381,374000,-976.5
383,376000,-973.0
385,378000,-982.0
387,380000,-981.0
389,382000,-981.0
391,384000,-984.5
393,386000,-978.5
395,388000,-984.5
397,390000,-978.0
399,392000,-971.5
401,394000,-980.5
403,396000,-974.0
405,398000,-989.5
407,400000,-989.5
409,402000,-981.5
411,404000,-975.5
413,406000,-989.5
415,408000,-945.5
417,410000,-976.5
419,412000,-993.0
421,414000,-969.5
423,416000,-961.0
425,418000,-976.5
427,420000,-966.5
429,422000,-984.5
431,424000,-963.5
433,426000,-983.5
435,428000,-944.5
437,430000,-983.5
439,432000,-968.5
442,434000,-662.0
444,436000,-982.5
446,438000,-985.5
448,440000,-986.0
450,442000,-963.5
452,444000,-992.5
454,446000,-973.5
456,448000,-976.0
458,450000,-986.0
460,452000,-965.5
462,454000,-988.0
464,456000,-946.0
466,458000,-972.5
468,460000,-964.5
470,462000,-954.0
472,464000,-982.5
474,466000,-967.5
476,468000,-985.0
478,470000,-955.0
480,472000,-956.0
482,474000,-991.5
484,476000,-940.0
486,478000,-988.0
488,480000,-982.0
490,482000,-967.0
492,484000,-970.5
494,486000,-973.5
496,488000,-962.5
498,490000,-977.0
500,492000,-973.0
502,494000,-973.5
504,496000,-979.0
506,498000,-978.5
508,500000,-980.0
510,502000,-966.5
512,504000,-988.0
514,506000,-948.5
516,508000,-957.0
518,510000,-980.0
520,512000,-961.5
523,514000,-659.0
525,516000,-981.0
527,518000,-971.5
529,520000,-976.0
532,522000,-643.3333
534,524000,-992.0
536,526000,-986.0
538,528000,-986.5
540,530000,-994.0
542,532000,-963.0
544,534000,-943.5
546,536000,-967.5
548,538000,-968.0
550,540000,-973.5
552,542000,-966.0
554,544000,-962.5
556,546000,-981.0
558,548000,-992.0
560,550000,-981.5
562,552000,-995.0
564,554000,-974.5
566,556000,-942.5
568,558000,-967.0
570,560000,-960.5
572,562000,-986.0
574,564000,-991.0
576,566000,-985.5
578,568000,-975.5
580,570000,-991.0
582,572000,-987.0
584,574000,-972.5
586,576000,-964.0
588,578000,-952.0
590,580000,-988.5
592,582000,-970.5
594,584000,-985.0
597,586000,-673.3333
599,588000,-998.0
601,590000,-996.5
603,592000,-904.5
605,594000,-991.5
607,596000,-999.5
609,598000,-985.0
611,600000,-938.5
613,602000,-958.0
615,604000,-949.5
617,606000,-851.0
619,608000,-936.5
621,610000,-938.0
623,612000,-889.5
625,614000,-830.0
627,616000,-870.0
629,618000,-993.0
631,620000,-895.0
633,622000,-925.0
635,624000,-928.0
637,626000,-981.0
639,628000,-910.5
641,630000,-931.5
643,632000,-993.0
645,634000,-999.5
647,636000,-882.0
649,638000,-991.0
651,640000,-1000.0
653,642000,-970.0
655,644000,-932.5
657,646000,-905.0
659,648000,-969.5
661,650000,-969.5
663,652000,-976.0
666,654000,-659.0
668,656000,-939.0
670,658000,-978.0
672,660000,-984.0
674,662000,-970.0
676,664000,-983.0
678,666000,-979.5
681,668000,-648.0
684,670000,-648.6667
686,672000,-961.0
688,674000,-957.5
690,676000,-973.0
692,678000,-986.5
694,680000,-987.5
696,682000,-975.0
699,684000,-648.3333
701,686000,-994.0
703,688000,-984.0
705,690000,-923.5
707,692000,-973.5
710,694000,-645.3333
712,696000,-971.5
714,698000,-971.5
716,700000,-957.0
718,702000,-979.0
720,704000,-974.5
722,706000,-957.0
724,708000,-951.5
726,710000,-978.0
728,712000,-965.0
730,714000,-978.5
732,716000,-979.5
734,718000,-994.0
736,720000,-973.5
740,722000,-481.25
742,724000,-985.0
744,726000,-998.0
746,728000,-986.0
748,730000,-986.5
750,732000,-979.0
753,734000,-654.0
755,736000,-989.0
758,738000,-656.3333
760,740000,-991.0
762,742000,-987.0
764,744000,-972.5
766,746000,-974.5
768,748000,-990.5
770,750000,-976.0
772,752000,-987.0
774,754000,-971.0
776,756000,-985.0
778,758000,-977.5
780,760000,-998.0
782,762000,-991.5
784,764000,-998.0
786,766000,-977.5
788,768000,-987.0
790,770000,-999.0
792,772000,-975.5
794,774000,-993.0
