episode,timestep,reward
2,2000,0.5
5,4000,1.0
7,6000,-0.5
9,8000,-4.0
11,10000,0.5
14,12000,-276.6667
16,14000,-500.5
18,16000,0.0
20,18000,-2.5
22,20000,-0.5
25,22000,-333.0
28,24000,-0.6667
31,26000,0.0
34,28000,0.3333
39,30000,-1.0
43,32000,0.75
47,34000,0.0
55,36000,-124.625
62,38000,0.5714
67,40000,0.4
73,42000,0.8333
79,44000,0.3333
85,46000,-165.8333
99,48000,0.9286
110,50000,0.3636
122,52000,0.3333
146,54000,0.625
162,56000,0.75
180,58000,-53.4444
200,60000,0.95
210,62000,0.9
225,64000,0.7333
252,66000,0.6296
274,68000,0.5909
296,70000,0.6818
327,72000,0.8387
370,74000,0.8837
394,76000,0.7917
433,78000,-24.9487
460,80000,-36.1481
503,82000,0.7907
547,84000,0.7955
624,86000,0.8961
687,88000,0.9206
773,90000,0.8953
861,92000,0.8864
959,94000,0.949
1067,96000,0.9444
1178,98000,0.9279
1296,100000,0.9492
1425,102000,0.969
1550,104000,0.96
1691,106000,0.922
1830,108000,0.9568
1974,110000,0.8542
2119,112000,0.9241
2263,114000,0.9792
2408,116000,0.9655
2558,118000,0.9533
2708,120000,0.9933
2858,122000,0.9867
3009,124000,0.9669
3161,126000,0.9934
3313,128000,0.9803
3464,130000,0.9669
3616,132000,0.9868
3769,134000,1.0
3920,136000,0.9735
4073,138000,0.9935
4225,140000,0.9211
4376,142000,0.9934
4527,144000,0.9801
4680,146000,0.9673
4833,148000,0.9869
4984,150000,1.0
5137,152000,0.9935
5290,154000,0.9935
5443,156000,1.0
5596,158000,0.9804
5750,160000,0.987
5903,162000,0.9869
6056,164000,0.9869
6209,166000,1.0
6362,168000,0.9739
6517,170000,0.871
6670,172000,0.9542
6823,174000,0.9869
6975,176000,1.0
7129,178000,0.9935
7283,180000,0.974
7436,182000,1.0
7589,184000,0.9869
7748,186000,0.3522
7908,188000,0.2375
8040,190000,0.9318
8169,192000,0.9302
8312,194000,1.0
8456,196000,0.9931
8605,198000,0.9597
8754,200000,0.953
8905,202000,1.0
9056,204000,0.9868
9226,206000,-0.9294
9397,208000,-0.9591
9550,210000,1.0
9704,212000,1.0
9858,214000,1.0
10011,216000,1.0
10165,218000,0.987
10318,220000,1.0
10472,222000,1.0
10626,224000,1.0
10779,226000,0.9935
10933,228000,0.9935
11086,230000,1.0
11240,232000,0.9805
11392,234000,0.8947
11545,236000,0.9935
11699,238000,1.0
11853,240000,1.0
12006,242000,0.9673
12160,244000,0.9805
12313,246000,0.9935
12467,248000,0.9935
12621,250000,1.0
12774,252000,1.0
12928,254000,1.0
13082,256000,1.0
13236,258000,1.0
13389,260000,1.0
13543,262000,1.0
13697,264000,1.0
13851,266000,0.9935
14004,268000,0.9869
14157,270000,0.9673
14311,272000,0.974
14464,274000,0.9869
14618,276000,1.0
14772,278000,1.0
14925,280000,0.9869
15078,282000,0.9935
15232,284000,0.9935
15386,286000,0.9935
15540,288000,0.974
15693,290000,0.9935
15846,292000,0.9869
16000,294000,1.0
16153,296000,0.9935
16307,298000,0.9935
16460,300000,1.0
16614,302000,0.9935
16767,304000,0.9935
16921,306000,1.0
17075,308000,0.9935
17242,310000,-0.6168
17407,312000,-0.3455
17561,314000,1.0
17715,316000,1.0
17869,318000,0.987
18022,320000,1.0
18176,322000,1.0
18330,324000,0.9935
18482,326000,0.9539
18635,328000,0.9739
18789,330000,0.9935
18943,332000,1.0
19096,334000,0.9869
19250,336000,0.9935
19403,338000,1.0
19557,340000,1.0
19711,342000,0.9935
19865,344000,1.0
20019,346000,1.0
20172,348000,0.9935
20326,350000,0.9935
20480,352000,1.0
20634,354000,1.0
20787,356000,1.0
20941,358000,1.0
21095,360000,0.9935
21248,362000,0.9935
21402,364000,1.0
21556,366000,1.0
21710,368000,1.0
21864,370000,1.0
22017,372000,1.0
22171,374000,1.0
22325,376000,1.0
22479,378000,0.9935
22632,380000,0.9804
22786,382000,1.0
22940,384000,0.9935
23094,386000,1.0
23247,388000,1.0
23401,390000,1.0
23555,392000,0.987
23707,394000,0.9211
23861,396000,1.0
24014,398000,1.0
24168,400000,1.0
24322,402000,0.9935
24476,404000,1.0
24629,406000,1.0
24783,408000,1.0
24937,410000,1.0
25091,412000,0.987
25245,414000,0.9805
25399,416000,1.0
25552,418000,1.0
25706,420000,1.0
25843,422000,0.2555
25981,424000,0.2536
26135,426000,0.9935
26289,428000,0.9935
26443,430000,1.0
26597,432000,1.0
26750,434000,0.9542
26903,436000,1.0
27057,438000,1.0
27211,440000,0.9935
27365,442000,1.0
27518,444000,1.0
27672,446000,1.0
27826,448000,1.0
27980,450000,1.0
28133,452000,1.0
28287,454000,1.0
28441,456000,1.0
28595,458000,0.9935
28749,460000,0.9935
28903,462000,1.0
29056,464000,1.0
29210,466000,1.0
29364,468000,1.0
29539,470000,-1.3543
29714,472000,-1.4
29868,474000,1.0
30022,476000,1.0
30176,478000,1.0
30329,480000,0.9935
30483,482000,1.0
30637,484000,1.0
30791,486000,1.0
30945,488000,1.0
31099,490000,0.9935
31252,492000,1.0
31406,494000,1.0
31560,496000,1.0
31714,498000,1.0
31868,500000,0.9935
32021,502000,1.0
32175,504000,1.0
32329,506000,1.0
32483,508000,0.9935
32637,510000,1.0
32790,512000,0.9935
32944,514000,1.0
33098,516000,1.0
33252,518000,1.0
33405,520000,1.0
33559,522000,1.0
33713,524000,1.0
33867,526000,1.0
34021,528000,1.0
34175,530000,1.0
34328,532000,1.0
34482,534000,1.0
34636,536000,1.0
34790,538000,1.0
34943,540000,1.0
35097,542000,1.0
35251,544000,1.0
35405,546000,0.9805
35559,548000,1.0
35712,550000,0.9869
35866,552000,1.0
36020,554000,1.0
36174,556000,1.0
36327,558000,1.0
36481,560000,0.9935
36635,562000,1.0
36788,564000,1.0
36942,566000,1.0
37096,568000,1.0
37250,570000,1.0
37403,572000,1.0
37557,574000,1.0
37711,576000,1.0
37865,578000,1.0
38019,580000,1.0
38173,582000,1.0
38326,584000,0.9935
38480,586000,1.0
38634,588000,0.9935
38788,590000,1.0
38942,592000,1.0
39095,594000,1.0
